"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1] Mid-upper",0.6208356162,0.620835,0.620820071352111,15000,0.95,0.620207,0.621513,NA,NA,NA,NA,NA,NA,NA
"mu[2] Middle",0.512792223333333,0.51279,0.512751309050724,15000,0.95,0.511058,0.514523,NA,NA,NA,NA,NA,NA,NA
"mu[3] Poor",0.4867134676,0.486712,0.486674203804881,15000,0.95,0.486113,0.48733,NA,NA,NA,NA,NA,NA,NA
"mu[4] Rich",0.6057471596,0.605743,0.605687601629219,15000,0.95,0.604865,0.60664,NA,NA,NA,NA,NA,NA,NA
"mu[5] NA",0.3161718196,0.31617,0.31615919720211,15000,0.95,0.315921,0.316408,NA,NA,NA,NA,NA,NA,NA
"mu[6] NA",0.432515361333333,0.432514,0.432480008062608,15000,0.95,0.43192,0.433105,NA,NA,NA,NA,NA,NA,NA
"mu[7] NA",0.409268197933333,0.409265,0.40921509909746,15000,0.95,0.408505,0.410025,NA,NA,NA,NA,NA,NA,NA
"mu[8] NA",0.4192385356,0.419237,0.419212970701116,15000,0.95,0.41784,0.420741,NA,NA,NA,NA,NA,NA,NA
"mu[9] NA",0.0407241814266667,0.0407232,0.0407135519361823,15383.1,0.95,0.0400213,0.0414013,NA,NA,NA,NA,NA,NA,NA
"mu[10] NA",0.490219972,0.490219,0.490213588265864,15000,0.95,0.489896,0.490528,NA,NA,NA,NA,NA,NA,NA
"mu[11] NA",0.507714034133333,0.507712,0.50769837843614,15000,0.95,0.507225,0.508191,NA,NA,NA,NA,NA,NA,NA
"mu[12] NA",0.294397592066667,0.294399,0.294397372866742,14560,0.95,0.293046,0.295747,NA,NA,NA,NA,NA,NA,NA
"mu[13] NA",0.592620296666667,0.592619,0.592527622059575,15000,0.95,0.591479,0.593802,NA,NA,NA,NA,NA,NA,NA
"mu[14] NA",0.3876159996,0.387614,0.387600892749072,15000,0.95,0.387205,0.388024,NA,NA,NA,NA,NA,NA,NA
"mu[15] NA",0.569397457533333,0.569396,0.569382645714071,15000,0.95,0.56881,0.569984,NA,NA,NA,NA,NA,NA,NA
"mu[16] NA",0.511622271266667,0.51162,0.511595293355476,15625.9,0.95,0.510816,0.512396,NA,NA,NA,NA,NA,NA,NA
"mu[17] NA",0.566545138466667,0.566541,0.566549920124555,15029.4,0.95,0.565597,0.567395,NA,NA,NA,NA,NA,NA,NA
